1	13 
2	24 
3	29 
4	8 
5	21 
6	16 
7	25 
8	34 
9	3 10 
10	22 
11	9 
12	11 
13	12 
14	14 
15	36 
16	7 33 
17	27 
18	35 
19	18 
20	15 24 
21	25 
22	25 
23	12 
24	22 
25	11 
26	24 
27	33 
28	26 
29	22 
30	9 
31	7 
32	15 
33	30 33 
34	25 
35	5 20 
36	31 
37	3 
38	13 
39	22 
40	32 
41	8 
42	14 
43	20 
44	26 
45	5 
46	23 
47	29 38 
48	10 
49	22 
50	17 
51	38 
52	14 
53	6 
54	21 
55	24 
56	13 
57	11 
58	38 
59	36 
60	32 
61	6 
62	8 
63	37 
64	24 
65	38 
66	8 
67	19 
68	1 
69	11 
70	19 
71	4 
72	6 
73	31 
74	22 31 
75	21 
76	12 
77	27 36 
78	2 32 
79	22 
80	15 
81	15 16 
82	26 
83	8 
84	17 
85	12 
86	1 
87	15 
88	38 
89	31 
90	3 
91	1 7 
92	38 
93	16 
94	37 
95	8 
96	23 
97	29 
98	19 
99	29 
100	11 
101	22 36 
102	34 
103	35 
104	15 
105	20 
106	21 
107	23 
108	14 
109	11 24 
110	37 
111	13 
112	9 
113	15 
114	36 
115	10 
116	8 
117	8 
118	18 
119	37 
120	36 
121	22 
122	1 
123	1 
124	11 
125	27 
126	26 
127	33 
128	32 
129	15 
130	10 
131	29 
132	12 
133	38 
134	6 
135	30 
136	7 
137	20 
138	33 
139	4 
140	19 
141	3 
142	26 
143	21 
144	1 
145	28 
146	8 
147	15 
148	30 
149	17 
150	18 
151	13 
152	12 
153	29 
154	27 
155	3 
156	10 
157	15 
158	24 
159	16 
160	21 
161	7 
162	16 
163	7 13 
164	3 
165	18 
166	27 
167	29 
168	16 
169	37 
170	14 
171	22 
172	5 20 
173	8 
174	34 
175	23 
176	14 
177	10 
178	25 
179	29 
180	30 
181	16 
182	14 
183	22 
184	3 
185	7 
186	32 
187	4 26 
188	13 
189	5 
190	6 
191	24 33 
192	33 
193	35 38 
194	18 
195	21 
