1	24 
2	35 
3	2 
4	5 
5	31 
6	34 
7	23 
8	13 
9	8 
10	8 
11	22 
12	2 
13	25 
14	21 
15	22 
16	15 
17	27 
18	6 
19	35 
20	35 
21	20 30 
22	16 24 
23	34 
24	35 
25	34 
26	21 
27	6 
28	13 
29	33 
30	7 
31	21 
32	25 
33	23 
34	12 
35	17 
36	32 
37	30 
38	35 
39	28 
40	32 
41	30 
42	30 
43	23 
44	16 31 
45	4 
46	34 
47	14 
48	23 
49	7 34 
50	8 
51	15 
52	15 
53	33 
54	11 
55	17 
56	19 
57	30 
58	11 
59	2 
60	22 
61	11 
62	25 
63	7 
64	13 
65	7 
66	33 
67	27 
68	15 
69	8 
70	6 32 
71	26 
72	23 
73	23 
74	23 
75	32 
76	30 
77	16 
78	24 
79	29 
80	29 
81	8 
82	31 
83	14 
84	29 
85	8 
86	3 
87	11 
88	3 
89	7 
90	15 35 
91	4 
92	6 
93	23 
94	5 
95	15 
96	7 
97	33 
98	5 
99	32 33 
100	29 
101	31 
102	10 
103	4 
104	21 
105	2 
106	18 20 
107	10 
108	1 
109	36 
110	15 
111	34 
112	32 
113	3 
114	23 
115	7 
116	3 
117	30 
118	20 
119	11 33 
120	9 
121	5 
122	14 
123	30 
124	9 
125	23 
126	6 
127	9 
128	9 
129	29 
130	11 
131	34 
132	12 
133	30 
134	11 
135	18 
136	18 
137	29 31 
138	34 
139	14 
140	31 
141	1 
142	10 
143	16 
144	24 31 
145	17 
146	33 
147	27 
148	32 
149	36 
150	12 
151	31 
152	12 
153	25 
154	20 
155	3 
156	34 
157	26 
158	27 
159	3 
160	3 
161	9 
162	8 
163	36 
164	25 
165	13 
166	11 
167	12 
168	23 
169	6 
170	8 
171	12 
172	32 
173	12 
174	30 
175	17 
176	19 
177	30 
178	32 
179	21 
180	19 
181	8 
182	11 
183	19 
184	15 
185	7 
186	11 
187	29 
188	3 
189	2 4 
190	27 
191	10 
192	2 
193	23 
194	1 
195	9 
196	10 
197	6 24 
198	34 
199	23 
200	11 
201	36 
202	30 
203	8 19 
204	29 
205	27 
206	27 
207	30 
208	4 
209	1 
210	2 
211	26 
212	17 
213	5 
214	16 
215	11 
216	25 34 
217	12 
218	11 
219	10 
220	1 25 
221	11 
222	17 
223	16 
224	3 31 
225	7 
226	23 
227	25 
228	19 
229	10 
230	13 
231	11 
232	31 
233	9 18 
234	23 26 
235	15 
236	15 
237	31 
