startTime,createUser,commentsUser,proj,year,url
2023-05-01 15:55:54+00:00,[User]_Wumpf,"{'[User]_cwfitzgerald', '[User]_Diggsey', '[User]_Wumpf'}",gfx-rs/wgpu,2023,https://github.com/gfx-rs/wgpu/issues/3741
2023-05-02 17:22:57+00:00,[User]_ErichDonGubler,set(),gfx-rs/wgpu,2023,https://github.com/gfx-rs/wgpu/issues/4429
2023-05-02 18:59:33+00:00,[User]_ErichDonGubler,"{'[User]_Wumpf', '[User]_ErichDonGubler', '[User]_cwfitzgerald', '[User]_teoxoy'}",gfx-rs/wgpu,2023,https://github.com/gfx-rs/wgpu/pull/3743
2023-05-03 11:59:17+00:00,[User]_jinleili,"{'[User]_jinleili', '[User]_cwfitzgerald', '[User]_Wumpf'}",gfx-rs/wgpu,2023,https://github.com/gfx-rs/wgpu/pull/3744
2023-05-03 14:26:01+00:00,[User]_lesleyrs,{'[User]_cwfitzgerald'},gfx-rs/wgpu,2023,https://github.com/gfx-rs/wgpu/issues/3745
2023-05-03 17:52:03+00:00,[User]_jimblandy,{'[User]_nical'},gfx-rs/wgpu,2023,https://github.com/gfx-rs/wgpu/pull/3746
2023-05-03 21:42:44+00:00,[User]_flukejones,"{'[User]_flukejones', '[User]_teoxoy'}",gfx-rs/wgpu,2023,https://github.com/gfx-rs/wgpu/issues/3747
2023-05-05 00:47:44+00:00,[User]_Aaron1011,"{'[User]_Imberflur', '[User]_teoxoy'}",gfx-rs/wgpu,2023,https://github.com/gfx-rs/wgpu/issues/3748
2023-05-05 04:22:35+00:00,[User]_paul-hansen,"{'[User]_cwfitzgerald', '[User]_paul-hansen'}",gfx-rs/wgpu,2023,https://github.com/gfx-rs/wgpu/pull/3750
2023-05-07 05:59:12+00:00,[User]_paul-hansen,{'[User]_cwfitzgerald'},gfx-rs/wgpu,2023,https://github.com/gfx-rs/wgpu/pull/3754
2023-05-07 12:05:31+00:00,[User]_Raj2032,"{'[User]_teoxoy', '[User]_Raj2032', '[User]_Wumpf'}",gfx-rs/wgpu,2023,https://github.com/gfx-rs/wgpu/issues/3755
2023-05-07 18:28:56+00:00,[User]_Ocrap7,"{'[User]_ifacodes', '[User]_kpreid', '[User]_Ocrap7', '[User]_cwfitzgerald'}",gfx-rs/wgpu,2023,https://github.com/gfx-rs/wgpu/issues/3756
2023-05-08 18:35:24+00:00,[User]_ErichDonGubler,{'[User]_ErichDonGubler'},gfx-rs/wgpu,2023,https://github.com/gfx-rs/wgpu/issues/3759
2023-05-09 02:53:02+00:00,[User]_ameknite,{'[User]_Wumpf'},gfx-rs/wgpu,2023,https://github.com/gfx-rs/wgpu/pull/3760
2023-05-09 03:22:02+00:00,[User]_tmvkrpxl0,set(),gfx-rs/wgpu,2023,https://github.com/gfx-rs/wgpu/issues/4430
2023-05-09 09:01:42+00:00,[User]_LucaCiucci,{'[User]_cwfitzgerald'},gfx-rs/wgpu,2023,https://github.com/gfx-rs/wgpu/issues/3762
2023-05-09 15:03:43+00:00,[User]_ErichDonGubler,{'[User]_teoxoy'},gfx-rs/wgpu,2023,https://github.com/gfx-rs/wgpu/pull/3763
2023-05-09 20:38:53+00:00,[User]_EriKWDev,{'[User]_cwfitzgerald'},gfx-rs/wgpu,2023,https://github.com/gfx-rs/wgpu/issues/3764
2023-05-10 22:29:07+00:00,[User]_cwfitzgerald,"{'[User]_nolanderc', '[User]_cwfitzgerald'}",gfx-rs/wgpu,2023,https://github.com/gfx-rs/wgpu/issues/3767
2023-05-11 16:33:42+00:00,[User]_JMS55,"{'[User]_jimblandy', '[User]_JMS55'}",gfx-rs/wgpu,2023,https://github.com/gfx-rs/wgpu/issues/3768
2023-05-11 16:49:27+00:00,[User]_jimblandy,set(),gfx-rs/wgpu,2023,https://github.com/gfx-rs/wgpu/issues/4431
2023-05-11 22:36:14+00:00,[User]_JMS55,set(),gfx-rs/wgpu,2023,https://github.com/gfx-rs/wgpu/issues/4432
2023-05-12 01:10:48+00:00,[User]_mcclure,{'[User]_jimblandy'},gfx-rs/wgpu,2023,https://github.com/gfx-rs/wgpu/issues/3769
2023-05-12 04:53:50+00:00,[User]_jimblandy,set(),gfx-rs/wgpu,2023,https://github.com/gfx-rs/wgpu/issues/4433
2023-05-12 08:42:00+00:00,[User]_SunOfHomeBoy,{'[User]_teoxoy'},gfx-rs/wgpu,2023,https://github.com/gfx-rs/wgpu/issues/3771
2023-05-13 07:37:44+00:00,[User]_39ali,"{'[User]_cwfitzgerald', '[User]_39ali'}",gfx-rs/wgpu,2023,https://github.com/gfx-rs/wgpu/pull/3772
2023-05-14 01:09:23+00:00,[User]_jimblandy,{'[User]_cwfitzgerald'},gfx-rs/wgpu,2023,https://github.com/gfx-rs/wgpu/pull/3773
2023-05-14 17:17:33+00:00,[User]_Wumpf,"{'[User]_emilk', '[User]_cwfitzgerald', '[User]_Wumpf'}",gfx-rs/wgpu,2023,https://github.com/gfx-rs/wgpu/pull/3774
2023-05-16 13:59:08+00:00,[User]_emilk,"{'[User]_cwfitzgerald', '[User]_Wumpf'}",gfx-rs/wgpu,2023,https://github.com/gfx-rs/wgpu/issues/3777
2023-05-17 04:51:32+00:00,[User]_MalekiRe,"{'[User]_MalekiRe', '[User]_cwfitzgerald'}",gfx-rs/wgpu,2023,https://github.com/gfx-rs/wgpu/issues/3778
