startTime,createUser,commentsUser,proj,year,url
2023-05-20 04:32:48+00:00,[User]_ciur,{'[User]_ciur'},ciur/papermerge,2023,https://github.com/ciur/papermerge/issues/548
2023-07-03 16:33:16+00:00,[User]_Archibaldium,set(),ciur/papermerge,2023,https://github.com/ciur/papermerge/issues/550
2023-07-18 07:32:17+00:00,[User]_NerdRelaxo,"{'[User]_ciur', '[User]_w4tzmann'}",ciur/papermerge,2023,https://github.com/ciur/papermerge/issues/551
2023-09-02 20:56:41+00:00,[User]_kovaacs,{'[User]_ciur'},ciur/papermerge,2023,https://github.com/ciur/papermerge/issues/553
2023-09-15 10:53:01+00:00,[User]_acolville,set(),ciur/papermerge,2023,https://github.com/ciur/papermerge/issues/554
2023-09-22 20:21:25+00:00,[User]_philiplb,"{'[User]_ciur', '[User]_philiplb'}",ciur/papermerge,2023,https://github.com/ciur/papermerge/issues/555
2023-09-27 08:40:45+00:00,[User]_morelight101,set(),ciur/papermerge,2023,https://github.com/ciur/papermerge/issues/556
2023-11-09 05:23:21+00:00,[User]_ciur,set(),ciur/papermerge,2023,https://github.com/ciur/papermerge/issues/559
2023-11-09 05:51:18+00:00,[User]_ciur,{'[User]_ciur'},ciur/papermerge,2023,https://github.com/ciur/papermerge/issues/560
2023-11-22 06:14:00+00:00,[User]_smichaelsen,{'[User]_ciur'},ciur/papermerge,2023,https://github.com/ciur/papermerge/issues/561
2023-11-26 01:15:20+00:00,[User]_maheshmnj,"{'[User]_ciur', '[User]_maheshmnj'}",ciur/papermerge,2023,https://github.com/ciur/papermerge/issues/562
2023-12-02 07:28:31+00:00,[User]_ciur,{'[User]_ciur'},ciur/papermerge,2023,https://github.com/ciur/papermerge/issues/566
2023-12-02 07:30:39+00:00,[User]_ciur,set(),ciur/papermerge,2023,https://github.com/ciur/papermerge/issues/567
2023-12-02 07:34:28+00:00,[User]_ciur,set(),ciur/papermerge,2023,https://github.com/ciur/papermerge/issues/568
2023-12-20 06:39:41+00:00,[User]_ciur,set(),ciur/papermerge,2023,https://github.com/ciur/papermerge/pull/569
2023-12-25 07:53:01+00:00,[User]_ciur,set(),ciur/papermerge,2023,https://github.com/ciur/papermerge/issues/570
2023-12-31 08:21:22+00:00,[User]_lehnerpat,{'[User]_ciur'},ciur/papermerge,2023,https://github.com/ciur/papermerge/issues/571
2024-01-04 19:16:29+00:00,[User]_thndrbck,"{'[User]_ciur', '[User]_thndrbck', '[User]_cezarasurdoiu'}",ciur/papermerge,2024,https://github.com/ciur/papermerge/issues/572
2024-01-04 19:24:24+00:00,[User]_thndrbck,"{'[User]_ciur', '[User]_thndrbck'}",ciur/papermerge,2024,https://github.com/ciur/papermerge/issues/573
2024-01-04 23:41:02+00:00,[User]_thndrbck,"{'[User]_ciur', '[User]_n2qcn', '[User]_puhamihai', '[User]_thndrbck'}",ciur/papermerge,2024,https://github.com/ciur/papermerge/issues/574
2024-01-07 07:22:44+00:00,[User]_ciur,{'[User]_ciur'},ciur/papermerge,2024,https://github.com/ciur/papermerge/issues/575
2024-01-14 05:47:14+00:00,[User]_ciur,set(),ciur/papermerge,2024,https://github.com/ciur/papermerge/issues/576
2024-01-15 06:24:56+00:00,[User]_ciur,{'[User]_ciur'},ciur/papermerge,2024,https://github.com/ciur/papermerge/issues/577
2024-01-17 10:18:19+00:00,[User]_oliverrahner,set(),ciur/papermerge,2024,https://github.com/ciur/papermerge/issues/578
2024-01-18 07:59:05+00:00,[User]_oliverrahner,"{'[User]_ciur', '[User]_schischo', '[User]_oliverrahner'}",ciur/papermerge,2024,https://github.com/ciur/papermerge/issues/579
2024-01-18 20:58:59+00:00,[User]_veitenti,{'[User]_ciur'},ciur/papermerge,2024,https://github.com/ciur/papermerge/issues/580
2024-01-19 23:20:12+00:00,[User]_tobasium,"{'[User]_ciur', '[User]_tobasium'}",ciur/papermerge,2024,https://github.com/ciur/papermerge/issues/581
2024-01-21 17:24:30+00:00,[User]_tobasium,set(),ciur/papermerge,2024,https://github.com/ciur/papermerge/issues/582
2024-01-22 12:57:01+00:00,[User]_vikithakar,"{'[User]_ciur', '[User]_vikithakar'}",ciur/papermerge,2024,https://github.com/ciur/papermerge/issues/583
2024-01-27 08:08:51+00:00,[User]_ciur,{'[User]_ciur'},ciur/papermerge,2024,https://github.com/ciur/papermerge/issues/584
2024-01-28 11:18:29+00:00,[User]_ciur,{'[User]_ciur'},ciur/papermerge,2024,https://github.com/ciur/papermerge/issues/586
2024-01-31 10:36:32+00:00,[User]_Chavell3,"{'[User]_ciur', '[User]_Chavell3', '[User]_thndrbck'}",ciur/papermerge,2024,https://github.com/ciur/papermerge/issues/587
2024-02-01 20:40:22+00:00,[User]_Chavell3,"{'[User]_ciur', '[User]_Chavell3'}",ciur/papermerge,2024,https://github.com/ciur/papermerge/issues/588
2024-02-02 08:16:01+00:00,[User]_smart-clouds-09,{'[User]_ciur'},ciur/papermerge,2024,https://github.com/ciur/papermerge/issues/589
2024-02-02 08:18:34+00:00,[User]_smart-clouds-09,"{'[User]_ciur', '[User]_smart-clouds-09'}",ciur/papermerge,2024,https://github.com/ciur/papermerge/issues/590
